243.0,32.0,269.0,32.0,269.0,410.0,243.0,410.0,百計逢迎專政則多方賣弄釀成端慶洪順之
210.0,31.0,237.0,31.0,237.0,409.0,210.0,409.0,禍𡸈一朝一夕之故哉比年逆暠稱兵僣干位
180.0,31.0,207.0,31.0,207.0,409.0,180.0,409.0,號彼乃貪生畏死忍耻事讐假名爵而為逆暠
150.0,31.0,176.0,31.0,176.0,410.0,150.0,410.0,誑誘愚民假頭目而為逆暠求封外國狗彘其
124.0,30.0,144.0,30.0,144.0,132.0,124.0,132.0,行梟獍其心
134.0,138.0,146.0,138.0,146.0,302.0,134.0,302.0,梟惡鳥名獍音更惡
120.0,139.0,132.0,139.0,132.0,302.0,120.0,302.0,獸名梟食父獍食母
120.0,304.0,141.0,304.0,141.0,408.0,120.0,408.0,人皆唾罵而
87.0,29.0,115.0,29.0,115.0,408.0,87.0,408.0,彼則冥頑自如曾不顧君父之厚恩綱常之大
58.0,30.0,84.0,30.0,84.0,406.0,58.0,406.0,義其得罪於天地得罪於祖宗得罪於天下在
29.0,28.0,55.0,28.0,55.0,407.0,29.0,407.0,所不赦今将臣何飛鶽阮魯等已捉得正身欽
3.0,26.0,27.0,26.0,27.0,406.0,3.0,406.0,奉勑㫖力士拿誅之初六科十三道上奏為大
